file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,202,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,203,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,204,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,5
style.css,205,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,10
style.css,206,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,16
style.css,207,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,13
style.css,208,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,14
style.css,209,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,210,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,211,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,9
style.css,212,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,25
style.css,213,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,23
style.css,214,css,818076f5,karizabal,2025-05-02,00:04:43,-07:00,2025-05-02T00:04:43-07:00,0,0
style.css,215,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,216,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,217,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,14
style.css,218,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,14
style.css,219,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,16
style.css,220,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,16
style.css,221,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,14
style.css,222,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,223,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,224,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,7
style.css,225,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,12
style.css,226,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,58
style.css,227,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,16
style.css,228,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,9
style.css,229,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,14
style.css,230,css,592144a5,karizabal,2025-05-02,20:52:45,-07:00,2025-05-02T20:52:45-07:00,1,10
style.css,231,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,21
style.css,232,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,6
style.css,233,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,234,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,0,0
style.css,235,css,5f8c071f,karizabal,2025-05-02,19:53:12,-07:00,2025-05-02T19:53:12-07:00,0,10
style.css,236,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,12
style.css,237,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,18
